x,y,vx,vy,yaw,yaw_rate,wf,wr,f_FL,f_FR,f_RL,f_RR,status,omega,steer,timer
3.9399193398226298,3.137291922048363,-1.4814172786530098,2.1811982817181783,-2.3989510773437015,-2.5056879504577814,-0.048561390876539046,-0.032243508925053205,4.407876976399606,3.6276425239525714,7.1964414464888025,5.451388540663395,8.0,0.0,-1.0,2.566666666666667
3.968492868254326,3.130560289625954,-1.5107371727468348,2.0940279650622022,-2.426908407399832,-2.4645217427018484,-0.054665106487779336,-0.03913618001068486,4.3906812287152945,3.672542514299709,7.048978193280048,5.499611910611276,8.0,0.0,-1.0,2.577777777777778
3.9964718628319473,3.1239713302763295,-1.5343239026286442,2.008171238753108,-2.454400655931517,-2.42351601326424,-0.04661488416835535,-0.042618835385536236,4.3821763192831815,3.6433143228580507,7.0180581928868815,5.515543298418937,8.0,0.0,-1.0,2.588888888888889
4.0238505220179475,3.1175332261819158,-1.5539581560993132,1.9236692426349995,-2.4814063775399533,-2.3776586303046696,-0.03421498833706194,-0.0201374413895036,4.167074442765913,3.5591249944784464,6.985263838771691,5.777342565737166,8.0,0.0,-1.0,2.6
4.050637953586044,3.111230571511847,-1.5706548057055782,1.840271379505201,-2.507894878303798,-2.3300933431810424,-0.038553177490862185,-0.040392916809184554,4.09899530170883,3.313073119507395,7.234441995454849,5.811305458119355,8.0,0.0,-1.0,2.611111111111111
4.07684949730236,3.1050841599827503,-1.5835895492769785,1.758986569303914,-2.533844011548158,-2.2825607720979,-0.024252405200456018,-0.03047839616799498,4.151491327676325,3.3873214522874986,7.106730313716814,5.772976529027203,8.0,0.0,-1.0,2.6222222222222222
4.102483035380138,3.099088356159641,-1.590964330905277,1.6789298616933348,-2.559240070623478,-2.231926082387372,-0.03445156205508586,-0.01298003562847389,4.284004346874697,3.4207674229451994,7.061325975299653,5.624049053808082,8.0,0.0,-1.0,2.6333333333333333
4.127531538929805,3.093232398238161,-1.5952177878893739,1.6002149011892206,-2.584046990932935,-2.1776840004312565,-0.016411117798397212,-0.005630297937851717,4.252731280676496,3.419205624394903,7.014960721214132,5.66995120261744,8.0,0.0,-1.0,2.6444444444444444
4.151977582752196,3.0875230827105957,-1.5927531208040078,1.522783728863471,-2.608256187345091,-2.125916055986559,-0.010758521013521368,-0.005979184487331103,4.216184531534987,3.256348937123803,7.176485009098584,5.682955059129536,8.0,0.0,-1.0,2.6555555555555554
4.17581008348585,3.0819601303080795,-1.5884370378160277,1.446971195369004,-2.6318563285317826,-2.0702509098672457,-0.017349960846345488,0.013022047834275519,4.229560945881593,3.3577572839632683,7.023853707101318,5.695811312448803,8.0,0.0,-1.0,2.666666666666667
4.196508354670549,3.0771392390114265,-1.5825868823891363,1.381874677587565,-2.652311121123291,-2.019978500192609,-0.027188689019722698,0.00668265777950747,4.0822020644064425,3.1873811477483396,7.1776665622390095,5.841954512757518,8.0,0.0,-1.0,2.677777777777778
4.219238154560973,3.071861259444761,-1.572554788212032,1.311268727475151,-2.6747172360494953,-1.9625162737458066,-0.028741302264555485,-0.023282187115424506,4.129423516703368,3.225736227564632,7.121450554909332,5.796428399175218,8.0,0.0,-1.0,2.688888888888889
4.24138217076088,3.066731086069556,-1.5593288456618934,1.2418637358055842,-2.6964729993397696,-1.9044161984046297,-0.010656361506062277,-0.0028162696350207995,4.144926629245112,3.1710540266997187,7.176463899821451,5.767637992978478,8.0,0.0,-1.0,2.7
4.262943449178224,3.0617478616503426,-1.5437913355283068,1.1755639019279802,-2.7175694767823497,-1.845840073320965,-0.022731124441244765,-0.016854576448662235,3.9529695381483547,3.17685609201395,7.112643911926992,6.00778551498693,8.0,0.0,-1.0,2.7111111111111112
4.283921821011956,3.056907853891449,-1.5239498481964584,1.1120491199127993,-2.7379988140361196,-1.7852418271173076,-0.02169527838694411,-0.014867694453108312,4.030468913290957,3.2594215685925194,7.019229250016362,5.933288020626146,8.0,0.0,-1.0,2.7222222222222223
4.304313908667199,3.0522114857957328,-1.5029153030735316,1.0498488162339306,-2.757732832605147,-1.7229548960965644,-0.02985755091380754,-0.011271469871636096,4.0031737163195285,3.1582575799460373,7.1328730056087375,5.9443185269329195,8.0,0.0,-1.0,2.7333333333333334
4.324133361664338,3.0476689285536187,-1.4794325597584028,0.9903273767285394,-2.77676050423173,-1.6600404406212892,-0.026952419451227623,-0.01793466173254587,4.0627273436851965,3.24002443691532,7.041352057226806,5.890786468017568,8.0,0.0,-1.0,2.7444444444444445
4.343366856076264,3.0432742640536703,-1.4531428021134287,0.9329105001422083,-2.795083057738414,-1.5976419588704298,-0.03282154521904955,-0.017852285546260845,3.9675343258556732,3.186844253882826,7.08414511623108,5.995857570325756,8.0,0.0,-1.0,2.7555555555555555
4.359972122319926,3.039496246806611,-1.4278888546054953,0.8834583268289741,-2.810782724450858,-1.5417638656258035,-0.029886580864085306,-0.008926983823618753,4.052445609206929,2.9824883062288237,7.365598042681488,5.841918732282768,8.0,0.0,-1.0,2.7666666666666666
4.37810220448643,3.035377583205618,-1.3965576910075908,0.8315713880061257,-2.8277740798772655,-1.4786296470754463,-0.007800242591141282,-0.02231364255245001,3.825398816997215,3.217538947777241,7.0109834970501845,6.178545591361578,8.0,0.0,-1.0,2.7777777777777777
4.39564557580097,3.0314110668663856,-1.3646142464536197,0.7802756459372036,-2.8440565193507155,-1.415712340048193,-0.008503514827031934,-0.022255545399246384,4.024008942719817,3.14531384961122,7.158979238288149,5.914637581657533,8.0,0.0,-1.0,2.788888888888889
4.412589177114164,3.027598984660335,-1.3291447078244223,0.7300596046902893,-2.859628042562936,-1.3529608130551254,-0.01414233658641599,-0.03341772350574636,3.9704688814384816,3.2786752700784425,6.977339519262287,6.012481335627461,8.0,0.0,-1.0,2.8000000000000003
4.4289549684740575,3.0239473367138427,-1.2944611048727461,0.6834234078294932,-2.874497733760951,-1.2909620693872417,0.0017968941030551437,-0.030384527248338344,4.024155223250284,3.2955119651062588,6.976110923448638,5.948918860798225,8.0,0.0,-1.0,2.8111111111111113
4.444737953648911,3.0204522041330737,-1.2575674377919246,0.6395118420134169,-2.888674717971234,-1.2295948526212068,0.0045551517402242,-0.01844302401060917,3.960142898468999,3.141103894504433,7.1670971664157825,5.989008225470507,8.0,0.0,-1.0,2.8222222222222224
4.459937711227281,3.0170905375342483,-1.2175266243656124,0.5985456781901044,-2.9021602071114576,-1.1676922695616971,0.002558331647946506,0.006256032379857467,3.8494029233553,3.3367725679121687,6.880798895389208,6.174566607109598,8.0,0.0,-1.0,2.8333333333333335
4.474542164279112,3.0138652876251815,-1.1768894766500255,0.5575681331276492,-2.9149427999925526,-1.104730457702723,-0.018098242477295315,-0.002731658972774489,3.6898303045072542,3.273350919388382,6.920956402361671,6.356624082615795,8.0,0.0,-1.0,2.8444444444444446
4.4885625924645005,3.010784866153559,-1.1352276717572813,0.5221592863212474,-2.927028323881188,-1.0441964074867391,-0.01864358562020377,0.00045537988352800304,3.848710363728313,3.402093517475776,6.803596059290792,6.189923299594045,8.0,0.0,-1.0,2.8555555555555556
4.500535864505098,3.0081566005915454,-1.0976727438409373,0.489906970498885,-2.9372001461752415,-0.9901637063977564,-0.013209732092754257,-0.008073510552673179,4.032417305948971,3.224714023418338,7.109433646551434,5.913983714654714,8.0,0.0,-1.0,2.8666666666666667
4.513462598037166,3.005340015153759,-1.0556876416077463,0.4556778537654283,-2.947994528013746,-0.9294001399755877,-0.02629441641889698,0.001252407031571083,3.9413488927370173,3.287083225090029,7.001952316691953,6.042458813058127,8.0,0.0,-1.0,2.8777777777777778
4.525798210656904,3.0026649718018343,-1.0096621161775692,0.42307438559727434,-2.9581110812207516,-0.8698504522720568,-0.022637384732712155,-0.016203096580258255,3.8779446096243326,3.3294357911569206,6.929557706528341,6.13145039465166,8.0,0.0,-1.0,2.888888888888889
4.537539923685863,3.000134801083914,-0.9635305451011718,0.391607494995559,-2.9675634368350807,-0.8109135856363101,-0.019375378146585638,-0.032707749796396506,3.8004605131753064,3.3460356201637853,6.884851819771169,6.231957311930567,8.0,0.0,-1.0,2.9
4.548679077523033,2.997733942089353,-0.9161443985864798,0.3628289474509966,-2.9763565254795017,-0.7527091261588169,-0.009582222088404936,-0.030347348607062827,3.9404101764293507,3.267807516313927,7.050323732952661,6.034473357292861,8.0,0.0,-1.0,2.9111111111111114
4.559221863999911,2.99547629461005,-0.8693883053579152,0.33494526092226345,-2.984506474982881,-0.6965512787428514,-0.008598683834170636,-0.03476167967950272,3.781176551368727,3.364848516774871,6.861783840102552,6.259234441927596,8.0,0.0,-1.0,2.9222222222222225
4.569173162243105,2.993358134953582,-0.8216731053572935,0.3081032476004131,-2.9920266401167535,-0.6403495799553391,0.008661253887076458,-0.035514397312475306,3.6266174495343515,3.420328711435174,6.7309912751984005,6.467562071518415,8.0,0.0,-1.0,2.9333333333333336
4.578537536594557,2.9913746494380438,-0.7743958234364386,0.28280712666035823,-2.9989238393967246,-0.5857738785971655,0.006002077055491631,-0.042206665118311344,3.8785220569946546,3.2992651478041,6.998994607533307,6.117706377064738,8.0,0.0,-1.0,2.9444444444444446
4.587316189080482,2.989527750659076,-0.7258398995595169,0.25901477724036537,-3.005217076827149,-0.5329073145191504,0.01287370358138589,-0.04043398133148562,3.7025561129102726,3.291124636942861,6.946211080863203,6.336783970711411,8.0,0.0,-1.0,2.9555555555555557
4.594627352833153,2.987996020740167,-0.6821941155862977,0.2397883828983764,-3.010315504816841,-0.4867682538960952,0.02460147607235247,-0.049965082299667375,3.8049892989133975,3.343866587662665,6.914686467093001,6.221011318537344,8.0,0.0,-1.0,2.966666666666667
4.6022931432826955,2.9863917555319826,-0.6330932120850646,0.21679150802298844,-3.015502695345626,-0.43552287656810557,0.010292046820793647,-0.053239775803923625,3.758028446927351,3.4897022134449553,6.695463390021059,6.318117176836703,8.0,0.0,-1.0,2.977777777777778
4.609373376242362,2.984932096696007,-0.5829194927646715,0.19636692681281223,-3.0201184077572583,-0.3852549420697438,0.014788097230795497,-0.05479384292976787,3.7635717229058088,3.411589068247484,6.809346541795357,6.290080796565841,8.0,0.0,-1.0,2.988888888888889
4.61586319211255,2.9835949592839928,-0.5336874199536783,0.1774958170177421,-3.0241788040225526,-0.3372861886526076,0.010057863333653428,-0.06556429210931425,3.851764710412878,3.3263908478955493,6.9665911563341085,6.155644693990514,8.0,0.0,-1.0,3.0
4.621762340870453,2.982381112370577,-0.4831055334371805,0.15772639962741383,-3.0277122862833146,-0.2914511619344515,0.013789119914883812,-0.06805452376799304,3.7847754101426956,3.5649181527289975,6.60709521000279,6.303016328300139,8.0,0.0,-1.0,3.011111111111111
4.627061972434834,2.9813034684573236,-0.4306117436243395,0.13890507161907,-3.0307369945732097,-0.24680827144473758,0.008230766993484214,-0.07220617687682702,3.7582337657281193,3.4613264285981993,6.743786173131747,6.308819791270495,8.0,0.0,-1.0,3.022222222222222
4.631755515527522,2.9803509799247023,-0.38011191645383524,0.11956342747476749,-3.0332649658657447,-0.20267844683030026,0.00863278711202678,-0.0738053123319749,3.7443181040203877,3.3759410881290317,6.861501258888501,6.3031963866646965,8.0,0.0,-1.0,3.0333333333333337
4.635856485947739,2.9795268964636215,-0.3294784147831384,0.1040504574094129,-3.0353169823019,-0.16245940581889784,0.0010870802825979713,-0.08727101976324844,3.7884421605973606,3.4498786834431643,6.7748511605724735,6.267115023708028,8.0,0.0,-1.0,3.0444444444444447
4.63938122115246,2.9788198353520765,-0.2804215996465824,0.08711957020680274,-3.036920018349964,-0.12299974490516616,0.014659397043311371,-0.08565679721052419,3.6463294132752058,3.3644724988625976,6.839948474288174,6.423796847736231,8.0,0.0,-1.0,3.055555555555556
4.6420289822130085,2.9782981012410588,-0.23552005370915471,0.07185058926984678,-3.037984664234099,-0.09032093962026487,0.015387956002856232,-0.09801356108280954,3.908813682593528,3.3808493501923707,6.917321915504388,6.097364640726563,8.0,0.0,-1.0,3.066666666666667
4.644455519607534,2.977824423383059,-0.18480376401345705,0.05561508441018488,-3.038813727444636,-0.05755081547955993,0.003403143542043272,-0.07303261757628907,3.6068412055996015,3.479452745542883,6.677123561911152,6.501487888120981,8.0,0.0,-1.0,3.077777777777778
4.6462919471131485,2.977470521688834,-0.13311615285385137,0.03975357084201159,-3.0392995047874054,-0.02998109122178451,0.015724689723392603,-0.06994844110242436,3.8396834494074747,3.477662782551538,6.769454909119515,6.207491961383235,8.0,0.0,-1.0,3.088888888888889
4.647537092266925,2.9772447992338686,-0.08234126480582434,0.02262001039804125,-3.0395019338168647,-0.007225651163110701,0.02228717823736181,-0.08135280991965207,3.79102772789305,3.4032229932223066,6.862363268869648,6.248200898918384,8.0,0.0,-1.0,3.1
